timestamp,sensor_torque,sensor_rpm,act_target_torque,act_target_velocity,load_target_torque,load_target_velocity,act_torque,act_vel,act_pos,load_torque,load_vel,load_pos
23:09:37.676,0.0,0,0,0,0,0,-49,0,0,8,0,0
23:09:37.686,0.0,0,0,0,0,0,-63,0,0,-50,0,0
23:09:37.696,0.0,0,0,0,0,0,-6,0,0,-23,0,0
23:09:37.706,0.0,0,0,0,0,0,19,0,0,74,0,0
23:09:37.716,0.0,0,0,0,0,0,-52,0,0,33,0,0
23:09:37.726,0.0,0,0,0,0,0,2,0,0,-38,0,0
23:09:37.736,0.0,0,0,0,0,0,9,0,0,42,0,0
23:09:37.747,0.0,0,0,0,0,0,36,0,0,-21,0,0
23:09:37.757,0.0,0,0,0,0,0,61,0,0,-9,0,0
23:09:37.767,0.0,0,0,0,0,0,65,0,0,-26,0,0
23:09:37.777,0.0,0,0,0,0,0,65,0,0,77,0,0
23:09:37.787,0.0,0,0,0,0,0,44,0,0,18,0,0
23:09:37.797,0.0,0,0,0,0,0,26,0,0,-5,0,0
23:09:37.807,0.0,0,0,0,0,0,27,0,0,72,0,0
23:09:37.817,0.0,0,0,0,0,0,5,0,0,16,0,0
23:09:37.828,0.0,0,0,0,0,0,-26,0,0,-21,0,0
23:09:37.838,0.0,0,0,0,0,0,37,0,0,66,0,0
23:09:37.848,0.0,0,0,0,0,0,-54,0,0,9,0,0
23:09:37.858,0.0,0,0,0,0,0,-82,0,0,-1,0,0
23:09:37.868,0.0,0,0,0,0,0,15,0,0,66,0,0
23:09:37.878,0.0,0,0,0,0,0,6,0,0,-48,0,0
23:09:37.888,0.0,0,0,0,0,0,7,0,0,21,0,0
23:09:37.898,0.0,0,0,0,0,0,-18,0,0,6,0,0
23:09:37.909,0.0,0,0,0,0,0,-86,0,0,9,0,0
23:09:37.919,0.0,0,0,0,0,0,12,0,0,-25,0,0
23:09:37.929,0.0,0,0,0,0,0,-8,0,0,2,0,0
23:09:37.939,0.0,0,0,0,0,0,49,0,0,-67,0,0
23:09:37.949,0.0,0,0,0,0,0,8,0,0,62,0,0
23:09:37.959,0.0,0,0,0,0,0,2,0,0,52,0,0
23:09:37.969,0.0,0,0,0,0,0,17,0,0,20,0,0
23:09:37.979,0.0,0,0,0,0,0,-23,0,0,-39,0,0
23:09:37.989,0.0,0,0,0,0,0,-32,0,0,-5,0,0
23:09:37.999,0.0,0,0,0,0,0,39,0,0,31,0,0
23:09:38.010,0.0,0,0,0,0,0,-5,0,0,39,0,0
23:09:38.020,0.0,0,0,0,0,0,-6,0,0,9,0,0
23:09:38.025,0.0,0,0,0,0,0,-63,0,0,-23,0,0
23:09:38.040,0.0,0,0,0,0,0,44,0,0,43,0,0
23:09:38.045,0.0,0,0,0,0,0,63,0,0,-25,0,0
23:09:38.055,0.0,0,0,0,0,0,31,0,0,-20,0,0
23:09:38.065,0.0,0,0,0,0,0,-16,0,0,37,0,0
23:09:38.075,0.0,0,0,0,0,0,44,0,0,23,0,0
23:09:38.085,0.0,0,0,0,0,0,-11,0,0,-84,0,0
23:09:38.096,0.0,0,0,0,0,0,1,0,0,-26,0,0
23:09:38.106,0.0,0,0,0,0,0,-19,0,0,75,0,0
23:09:38.116,0.0,0,0,0,0,0,49,0,0,34,0,0
23:09:38.126,0.0,0,0,0,0,0,58,0,0,-36,0,0
23:09:38.136,0.0,0,0,0,0,0,48,0,0,18,0,0
23:09:38.146,0.0,0,0,0,0,0,12,0,0,23,0,0
23:09:38.161,0.0,0,0,0,0,0,31,0,0,8,0,0
23:09:38.166,0.0,0,0,0,0,0,10,0,0,-59,0,0
23:09:38.176,0.0,0,0,0,0,0,34,0,0,-51,0,0
23:09:38.187,0.0,0,0,0,0,0,-82,0,0,-21,0,0
23:09:38.197,0.0,0,0,0,0,0,-61,0,0,13,0,0
23:09:38.207,0.0,0,0,0,0,0,-55,0,0,-38,0,0
23:09:38.217,0.0,0,0,0,0,0,37,0,0,40,0,0
23:09:38.227,0.0,0,0,0,0,0,31,0,0,12,0,0
23:09:38.237,0.0,0,0,0,0,0,-44,0,0,23,0,0
23:09:38.247,0.0,0,0,0,0,0,6,0,0,68,0,0
23:09:38.257,0.0,0,0,0,0,0,-33,0,0,58,0,0
23:09:38.267,0.0,0,0,0,0,0,20,0,0,56,0,0
23:09:38.278,0.0,0,0,0,0,0,15,0,0,-42,0,0
23:09:38.288,0.0,0,0,0,0,0,37,0,0,-41,0,0
23:09:38.298,0.0,0,0,0,0,0,-2,0,0,2,0,0
23:09:38.308,0.0,0,0,0,0,0,10,0,0,16,0,0
23:09:38.318,0.0,0,0,0,0,0,95,0,0,4,0,0
23:09:38.343,0.0,0,0,0,0,0,-23,0,0,-21,0,0
23:09:38.353,0.0,0,0,0,0,0,-48,0,0,5,0,0
23:09:38.364,0.0,0,0,0,0,0,-34,0,0,-63,0,0
23:09:38.374,0.0,0,0,0,0,0,36,0,0,0,0,0
23:09:38.384,0.0,0,0,0,0,0,61,0,0,0,0,0
23:09:38.394,0.0,0,0,0,0,0,19,0,0,-14,0,0
23:09:38.404,0.0,0,0,0,0,0,17,0,0,-67,0,0
23:09:38.414,0.0,0,0,0,0,0,-39,0,0,-26,0,0
23:09:38.424,0.0,0,0,0,0,0,-25,0,0,39,0,0
23:09:38.434,0.0,0,0,0,0,0,-15,0,0,-19,0,0
23:09:38.444,0.0,0,0,0,0,0,-71,0,0,-1,0,0
23:09:38.460,0.0,0,0,0,0,0,70,0,0,9,0,0
23:09:38.465,0.0,0,0,0,0,0,55,0,0,23,0,0
23:09:38.475,0.0,0,0,0,0,0,-6,0,0,6,0,0
23:09:38.485,0.0,0,0,0,0,0,23,0,0,-84,0,0
23:09:38.495,0.0,0,0,0,0,0,44,0,0,56,0,0
23:09:38.505,0.0,0,0,0,0,0,-53,0,0,44,0,0
23:09:38.515,0.0,0,0,0,0,0,2,0,0,39,0,0
23:09:38.525,0.0,0,0,0,0,0,-50,0,0,-22,0,0
23:09:38.535,0.0,0,0,0,0,0,-3,0,0,37,0,0
23:09:38.546,0.0,0,0,0,0,0,0,0,0,-9,0,0
23:09:38.556,0.0,0,0,0,0,0,-34,0,0,6,0,0
23:09:38.566,0.0,0,0,0,0,0,9,0,0,15,0,0
23:09:38.576,0.0,0,0,0,0,0,58,0,0,20,0,0
23:09:38.586,0.0,0,0,0,0,0,9,0,0,9,0,0
23:09:38.596,0.0,0,0,0,0,0,-17,0,0,-66,0,0
23:09:38.606,0.0,0,0,0,0,0,30,0,0,65,0,0
23:09:38.616,0.0,0,0,0,0,0,-29,0,0,-61,0,0
23:09:38.627,0.0,0,0,0,0,0,27,0,0,52,0,0
23:09:38.637,0.0,0,0,0,0,0,-25,0,0,51,0,0
23:09:38.647,0.0,0,0,0,0,0,-48,0,0,24,0,0
23:09:38.657,0.0,0,0,0,0,0,46,0,0,33,0,0
23:09:38.667,0.0,0,0,0,0,0,-21,0,0,-65,0,0
23:09:38.677,0.0,0,0,0,0,0,46,0,0,1,0,0
23:09:38.687,0.0,0,0,0,0,0,-66,0,0,29,0,0
23:09:38.702,0.0,0,0,0,0,0,44,0,0,-35,0,0
23:09:38.712,0.0,0,0,0,0,0,-13,0,0,20,0,0
23:09:38.717,0.0,0,0,0,0,0,4,0,0,-42,0,0
23:09:38.728,0.0,0,0,0,0,0,56,0,0,7,0,0
23:09:38.738,0.0,0,0,0,0,0,-63,0,0,6,0,0
23:09:38.748,0.0,0,0,0,0,0,14,0,0,6,0,0
23:09:38.758,0.0,0,0,0,0,0,11,0,0,-2,0,0
23:09:38.768,0.0,0,0,0,0,0,-17,0,0,60,0,0
23:09:38.778,0.0,0,0,0,0,0,-5,0,0,9,0,0
